Year,Country,Player,Par,Major
1962,United States,Jack Nicklaus ,283,us_open        
1963,United States,Julius Boros    ,293,us_open        
1964,United States,Ken Venturi,278,us_open        
1965,South Africa,Gary Player,282,us_open        
1966,United States,Billy Casper    ,278,us_open        
1967,United States,Jack Nicklaus,275,us_open        
1968,United States,Lee Trevino,275,us_open        
1969,United States,Orville Moody,281,us_open        
1970,England,Tony Jacklin,281,us_open        
1971,United States,Lee Trevino     ,280,us_open        
1972,United States,Jack Nicklaus,290,us_open        
1973,United States,Johnny Miller,279,us_open        
1974,United States,Hale Irwin,287,us_open        
1975,United States,Lou Graham,287,us_open        
1976,United States,Jerry Pate,277,us_open        
1977,United States,Hubert Green,278,us_open        
1978,United States,Andy North,285,us_open        
1979,United States,Hale Irwin,284,us_open        
1980,United States,Jack Nicklaus,272,us_open        
1981,Australia,David Graham,273,us_open        
1982,United States,Tom Watson,282,us_open        
1983,United States,Larry Nelson,280,us_open        
1984,United States,Fuzzy Zoeller   ,276,us_open        
1985,United States,Andy North,279,us_open        
1986,United States,Raymond Floyd,279,us_open        
1987,United States,Scott Simpson,277,us_open        
1988,United States,Curtis Strange   ,278,us_open        
1989,United States,Curtis Strange,278,us_open        
1990,United States,Hale Irwin      ,280,us_open        
1991,United States,Payne Stewart   ,282,us_open        
1992,United States,Tom Kite,285,us_open        
1993,United States,Lee Janzen,272,us_open        
1994,South Africa,Ernie Els       ,279,us_open        
1995,United States,Corey Pavin,280,us_open        
1996,United States,Steve Jones,278,us_open        
1997,South Africa,Ernie Els,276,us_open        
1998,United States,Lee Janzen,280,us_open        
1999,United States,Payne Stewart,279,us_open        
2000,United States,Tiger Woods,272,us_open        
2001,South Africa,Retief Goosen   ,276,us_open        
2002,United States,Tiger Woods,277,us_open        
2003,United States,Jim Furyk,272,us_open        
2004,South Africa,Retief Goosen,276,us_open        
2005,New Zealand,Michael Campbell,280,us_open        
2006,Australia,Geoff Ogilvy,285,us_open        
2007,Argentina,‡ngel Cabrera,285,us_open        
2008,United States,Tiger Woods        ,283,us_open        
2009,United States,Lucas Glover,276,us_open        
2010,N. Ireland,Graeme McDowell,284,us_open        
2011,N. Ireland,Rory McIlroy,268,us_open        
2012,United States,Webb Simpson,281,us_open        
2013,England,Justin Rose,281,us_open        
2014,Germany,Martin Kaymer,271,us_open        
2015,United States,Jordan Spieth,275,us_open        
1860,Scotland,"Willie Park, Sr.",174,open_champ     
1861,Scotland,"Tom Morris, Sr.    ",163,open_champ     
1862,Scotland,"Tom Morris, Sr.    ",163,open_champ     
1863,Scotland,"Willie Park, Sr    ",168,open_champ     
1864,Scotland,"Tom Morris, Sr.    ",167,open_champ     
1865,Scotland,Andrew Strath,162,open_champ     
1866,Scotland,"Willie Park, Sr    ",169,open_champ     
1867,Scotland,"Tom Morris, Sr.   ",170,open_champ     
1868,Scotland,"Tom Morris, Jr.    ",154,open_champ     
1869,Scotland,"Tom Morris, Jr.    ",157,open_champ     
1870,Scotland,"Tom Morris, Jr.    ",149,open_champ     
1872,Scotland,"Tom Morris, Jr.    ",166,open_champ     
1873,Scotland,Tom Kidd,179,open_champ     
1874,Scotland,Mungo Park,159,open_champ     
1875,Scotland,"Willie Park, Sr    ",166,open_champ     
1876,Scotland,Bob Martin       ,176,open_champ     
1877,Scotland,Jamie Anderson,160,open_champ     
1878,Scotland,Jamie Anderson,157,open_champ     
1879,Scotland,Jamie Anderson,169,open_champ     
1880,Scotland,Bob Ferguson,162,open_champ     
1881,Scotland,Bob Ferguson,170,open_champ     
1882,Scotland,Bob Ferguson,171,open_champ     
1883,Scotland,Willie Fernie    ,159,open_champ     
1884,Scotland,Jack Simpson,160,open_champ     
1885,Scotland,Bob Martin,171,open_champ     
1886,Scotland,David Brown,157,open_champ     
1887,Scotland,"Willie Park, Jr.",161,open_champ     
1888,Scotland,Jack Burns,171,open_champ     
1889,Scotland,"Willie Park, Jr.   ",155,open_champ     
1890,England,John Ball        ,162,open_champ     
1891,Scotland,Hugh Kirkaldy,166,open_champ     
1892,England,Harold Hilton    ,305,open_champ     
1893,Scotland,William Auchterlonie,322,open_champ     
1894,England,John Henry Taylor,326,open_champ     
1895,England,John Henry Taylor,332,open_champ     
1896,Jersey,Harry Vardon,316,open_champ     
1897,England,Harold Hilton      ,314,open_champ     
1898,Jersey    ,Harry Vardon,307,open_champ     
1899,Jersey ,Harry Vardon,310,open_champ     
1900,England,John Henry Taylor,309,open_champ     
1901,Scotland,James Braid,309,open_champ     
1902,Scotland,Sandy Herd,307,open_champ     
1903,Jersey,Harry Vardon,300,open_champ     
1904,Scotland,Jack White,296,open_champ     
1905,Scotland,James Braid,318,open_champ     
1906,Scotland,James Braid,300,open_champ     
1907,France ,Arnaud Massy,312,open_champ     
1908,Scotland,James Braid,291,open_champ     
1909,England,John Henry Taylor,291,open_champ     
1910,Scotland,James Braid,299,open_champ     
1911,Jersey ,Harry Vardon ,303,open_champ     
1912,Jersey,Ted Ray,295,open_champ     
1913,England,John Henry Taylor,304,open_champ     
1914,Jersey,Harry Vardon,306,open_champ     
1920,Scotland,George Duncan,303,open_champ     
1921,United States,Jock Hutchison     ,296,open_champ     
1922,United States,Walter Hagen,300,open_champ     
1923,England,Arthur Havers,295,open_champ     
